timestamp,session_id,device_id,event_type,key,interval_ms
1777215228.646959,session_20260426_155203_77a4c6,device_369185de,key_press,c,196.22
1777215228.7511718,session_20260426_155203_77a4c6,device_369185de,key_release,c,0.0
1777215228.8470237,session_20260426_155203_77a4c6,device_369185de,key_press,é,200.06
1777215228.9502363,session_20260426_155203_77a4c6,device_369185de,key_release,é,0.0
1777215229.0377946,session_20260426_155203_77a4c6,device_369185de,key_press,e,190.77
1777215229.1813517,session_20260426_155203_77a4c6,device_369185de,key_release,e,0.0
1777215229.1832328,session_20260426_155203_77a4c6,device_369185de,key_press,space,145.44
1777215229.349167,session_20260426_155203_77a4c6,device_369185de,key_release,space,0.0
1777215229.5821178,session_20260426_155203_77a4c6,device_369185de,key_press,à,398.89
1777215229.693633,session_20260426_155203_77a4c6,device_369185de,key_release,à,0.0
1777215229.7176614,session_20260426_155203_77a4c6,device_369185de,key_press,space,135.54
1777215229.8137317,session_20260426_155203_77a4c6,device_369185de,key_press,u,96.07
1777215229.8609545,session_20260426_155203_77a4c6,device_369185de,key_release,space,0.0
1777215229.8939204,session_20260426_155203_77a4c6,device_369185de,key_release,u,0.0
1777215229.9968867,session_20260426_155203_77a4c6,device_369185de,key_press,n,183.16
1777215230.085477,session_20260426_155203_77a4c6,device_369185de,key_release,n,0.0
1777215230.109803,session_20260426_155203_77a4c6,device_369185de,key_press,e,112.92
1777215230.188877,session_20260426_155203_77a4c6,device_369185de,key_press,space,79.07
1777215230.2304022,session_20260426_155203_77a4c6,device_369185de,key_release,e,0.0
1777215230.2331686,session_20260426_155203_77a4c6,device_369185de,key_press,n,44.29
1777215230.2613637,session_20260426_155203_77a4c6,device_369185de,key_release,space,0.0
1777215230.3107202,session_20260426_155203_77a4c6,device_369185de,key_release,n,0.0
1777215230.4137187,session_20260426_155203_77a4c6,device_369185de,key_press,u,180.55
1777215230.541397,session_20260426_155203_77a4c6,device_369185de,key_release,u,0.0
1777215230.5453963,session_20260426_155203_77a4c6,device_369185de,key_press,i,131.68
1777215230.670392,session_20260426_155203_77a4c6,device_369185de,key_release,i,0.0
1777215230.6753926,session_20260426_155203_77a4c6,device_369185de,key_press,t,130.0
1777215230.766186,session_20260426_155203_77a4c6,device_369185de,key_release,t,0.0
1777215230.8244667,session_20260426_155203_77a4c6,device_369185de,key_press,space,149.07
1777215230.933738,session_20260426_155203_77a4c6,device_369185de,key_press,d,109.27
1777215230.9572823,session_20260426_155203_77a4c6,device_369185de,key_release,space,0.0
1777215231.0212646,session_20260426_155203_77a4c6,device_369185de,key_release,d,0.0
1777215231.1010149,session_20260426_155203_77a4c6,device_369185de,key_press,e,167.28
1777215231.1895192,session_20260426_155203_77a4c6,device_369185de,key_press,space,88.5
1777215231.2288365,session_20260426_155203_77a4c6,device_369185de,key_release,e,0.0
1777215231.2699103,session_20260426_155203_77a4c6,device_369185de,key_press,l,80.39
1777215231.3658097,session_20260426_155203_77a4c6,device_369185de,key_release,space,0.0
1777215231.369923,session_20260426_155203_77a4c6,device_369185de,key_press,',100.01
1777215231.4141996,session_20260426_155203_77a4c6,device_369185de,key_release,l,0.0
1777215231.4614298,session_20260426_155203_77a4c6,device_369185de,key_release,',0.0
1777215231.5106418,session_20260426_155203_77a4c6,device_369185de,key_press,a,140.72
1777215231.5509295,session_20260426_155203_77a4c6,device_369185de,key_press,n,40.29
1777215231.6456041,session_20260426_155203_77a4c6,device_369185de,key_release,a,0.0
1777215231.6686208,session_20260426_155203_77a4c6,device_369185de,key_release,n,0.0
1777215231.6850028,session_20260426_155203_77a4c6,device_369185de,key_press,space,134.07
1777215231.8215172,session_20260426_155203_77a4c6,device_369185de,key_release,space,0.0
1777215231.8535032,session_20260426_155203_77a4c6,device_369185de,key_press,shift_r,168.5
1777215231.910121,session_20260426_155203_77a4c6,device_369185de,key_press,1,56.62
1777215232.0393379,session_20260426_155203_77a4c6,device_369185de,key_release,1,0.0
1777215232.0776355,session_20260426_155203_77a4c6,device_369185de,key_release,shift_r,0.0
1777215232.3492012,session_20260426_155203_77a4c6,device_369185de,key_press,shift,439.08
1777215232.4783223,session_20260426_155203_77a4c6,device_369185de,key_press,6,129.12
1777215232.613762,session_20260426_155203_77a4c6,device_369185de,key_press,8,135.44
1777215232.6341841,session_20260426_155203_77a4c6,device_369185de,key_release,6,0.0
1777215232.741054,session_20260426_155203_77a4c6,device_369185de,key_release,8,0.0
1777215232.8131018,session_20260426_155203_77a4c6,device_369185de,key_release,shift,0.0
1777215232.9159207,session_20260426_155203_77a4c6,device_369185de,key_press,shift_r,302.16
1777215232.9505634,session_20260426_155203_77a4c6,device_369185de,key_press,3,34.64
1777215233.1023517,session_20260426_155203_77a4c6,device_369185de,key_release,3,0.0
1777215233.1346116,session_20260426_155203_77a4c6,device_369185de,key_release,shift_r,0.0
1777215233.181962,session_20260426_155203_77a4c6,device_369185de,key_press,space,231.4
1777215233.3022704,session_20260426_155203_77a4c6,device_369185de,key_release,space,0.0
1777215233.33439,session_20260426_155203_77a4c6,device_369185de,key_press,e,152.43
1777215233.4227135,session_20260426_155203_77a4c6,device_369185de,key_press,n,88.32
1777215233.445445,session_20260426_155203_77a4c6,device_369185de,key_release,e,0.0
1777215233.5427392,session_20260426_155203_77a4c6,device_369185de,key_release,n,0.0
1777215233.6534617,session_20260426_155203_77a4c6,device_369185de,key_press,shift_r,230.75
1777215233.773839,session_20260426_155203_77a4c6,device_369185de,key_press,A,120.38
1777215233.845887,session_20260426_155203_77a4c6,device_369185de,key_release,shift_r,0.0
1777215233.9088795,session_20260426_155203_77a4c6,device_369185de,key_release,a,0.0
1777215234.022471,session_20260426_155203_77a4c6,device_369185de,key_press,u,248.63
1777215234.0866394,session_20260426_155203_77a4c6,device_369185de,key_release,u,0.0
1777215234.2945518,session_20260426_155203_77a4c6,device_369185de,key_press,backspace,272.08
1777215234.3828228,session_20260426_155203_77a4c6,device_369185de,key_release,backspace,0.0
